DataMedicao,Cota(m),VolumeAtual(hm3)
1/1/07,113.68,3697.18
2/1/07,113.64,3691.96
3/1/07,113.60,3686.74
4/1/07,113.55,3680.22
5/1/07,113.51,3675.01
6/1/07,113.47,3669.79
7/1/07,113.43,3664.58
8/1/07,113.38,3658.06
9/1/07,113.33,3651.54
10/1/07,113.29,3646.32
11/1/07,113.24,3639.80
12/1/07,113.20,3634.59
13/1/07,113.15,3628.07
14/1/07,113.10,3621.55
15/1/07,113.05,3615.03
16/1/07,113.00,3608.51
17/1/07,112.97,3604.60
18/1/07,112.97,3604.60
19/1/07,112.97,3604.60
20/1/07,112.97,3604.60
21/1/07,112.97,3604.60
22/1/07,112.97,3604.60
23/1/07,112.98,3605.90
24/1/07,112.98,3605.90
25/1/07,112.98,3605.90
26/1/07,112.98,3605.90
27/1/07,112.97,3604.60
28/1/07,112.96,3603.29
29/1/07,112.96,3603.29
30/1/07,112.94,3600.69
31/1/07,112.93,3599.38
1/2/07,112.92,3598.08
2/2/07,112.90,3595.47
3/2/07,112.89,3594.17
4/2/07,112.88,3592.86
5/2/07,112.86,3590.26
6/2/07,112.84,3587.65
7/2/07,112.82,3585.04
8/2/07,112.80,3582.43
9/2/07,112.80,3582.43
10/2/07,112.79,3581.13
11/2/07,112.78,3579.82
12/2/07,112.76,3577.22
13/2/07,112.74,3574.61
14/2/07,112.82,3585.04
15/2/07,113.00,3608.51
16/2/07,113.26,3642.41
17/2/07,113.52,3676.31
18/2/07,113.78,3710.21
19/2/07,114.04,3744.12
20/2/07,114.30,3778.02
21/2/07,114.56,3811.92
22/2/07,114.85,3849.73
23/2/07,114.94,3861.47
24/2/07,114.96,3864.07
25/2/07,114.98,3866.68
26/2/07,115.00,3869.29
27/2/07,115.00,3869.29
28/2/07,115.00,3869.29
1/3/07,115.00,3869.29
2/3/07,115.00,3869.29
3/3/07,114.95,3862.77
4/3/07,114.90,3856.25
5/3/07,114.86,3851.04
6/3/07,114.80,3843.21
7/3/07,114.80,3843.21
8/3/07,114.79,3841.91
9/3/07,114.80,3843.21
10/3/07,114.80,3843.21
11/3/07,114.80,3843.21
12/3/07,114.80,3843.21
13/3/07,114.83,3847.12
14/3/07,114.87,3852.34
15/3/07,114.87,3852.34
16/3/07,114.91,3857.55
17/3/07,114.93,3860.16
18/3/07,114.93,3860.16
19/3/07,114.95,3862.77
20/3/07,114.99,3867.99
21/3/07,115.00,3869.29
22/3/07,115.00,3869.29
23/3/07,114.96,3864.07
24/3/07,114.96,3864.07
25/3/07,114.97,3865.38
26/3/07,114.97,3865.38
27/3/07,114.98,3866.68
28/3/07,114.98,3866.68
29/3/07,114.98,3866.68
30/3/07,114.98,3866.68
31/3/07,114.96,3864.07
1/4/07,114.93,3860.16
2/4/07,114.93,3860.16
3/4/07,114.84,3848.43
4/4/07,114.84,3848.43
5/4/07,114.84,3848.43
6/4/07,114.84,3848.43
7/4/07,114.85,3849.73
8/4/07,114.85,3849.73
9/4/07,114.85,3849.73
10/4/07,114.84,3848.43
11/4/07,114.84,3848.43
12/4/07,114.84,3848.43
13/4/07,114.84,3848.43
14/4/07,114.86,3851.04
15/4/07,114.86,3851.04
16/4/07,114.88,3853.64
17/4/07,114.92,3858.86
18/4/07,114.92,3858.86
19/4/07,114.95,3862.77
20/4/07,114.96,3864.07
21/4/07,114.94,3861.47
22/4/07,114.94,3861.47
23/4/07,114.92,3858.86
24/4/07,114.90,3856.25
25/4/07,114.89,3854.95
26/4/07,114.89,3854.95
27/4/07,114.88,3853.64
28/4/07,114.86,3851.04
29/4/07,114.86,3851.04
30/4/07,114.84,3848.43
1/5/07,114.84,3848.43
2/5/07,114.82,3845.82
3/5/07,114.82,3845.82
4/5/07,114.80,3843.21
5/5/07,114.76,3838.00
6/5/07,114.76,3838.00
7/5/07,114.74,3835.39
8/5/07,114.70,3830.17
9/5/07,114.67,3826.26
10/5/07,114.64,3822.35
11/5/07,114.63,3821.05
12/5/07,114.60,3817.13
13/5/07,114.60,3817.13
14/5/07,114.60,3817.13
15/5/07,114.54,3809.31
16/5/07,114.51,3805.40
17/5/07,114.48,3801.49
18/5/07,114.45,3797.58
19/5/07,114.40,3791.06
20/5/07,114.40,3791.06
21/5/07,114.36,3785.84
22/5/07,114.33,3781.93
23/5/07,114.29,3776.71
24/5/07,114.25,3771.50
25/5/07,114.20,3764.98
26/5/07,114.14,3757.15
27/5/07,114.14,3757.15
28/5/07,114.06,3746.72
29/5/07,114.03,3742.81
30/5/07,114.00,3738.90
31/5/07,113.97,3734.99
1/6/07,113.99,3737.60
2/6/07,113.94,3731.08
3/6/07,113.94,3731.08
4/6/07,113.90,3725.86
5/6/07,113.87,3721.95
6/6/07,113.84,3718.04
7/6/07,113.82,3715.43
8/6/07,113.80,3712.82
9/6/07,113.75,3706.30
10/6/07,113.75,3706.30
11/6/07,113.70,3699.78
12/6/07,113.67,3695.87
13/6/07,113.64,3691.96
14/6/07,113.60,3686.74
15/6/07,113.57,3682.83
16/6/07,113.53,3677.62
17/6/07,113.53,3677.62
18/6/07,113.49,3672.40
19/6/07,113.47,3669.79
20/6/07,113.44,3665.88
21/6/07,113.41,3661.97
22/6/07,113.38,3658.06
23/6/07,113.35,3654.15
24/6/07,113.35,3654.15
25/6/07,113.31,3648.93
26/6/07,113.28,3645.02
27/6/07,113.26,3642.41
28/6/07,113.24,3639.80
29/6/07,113.22,3637.20
30/6/07,113.21,3635.89
1/7/07,113.21,3635.89
2/7/07,113.20,3634.59
3/7/07,113.20,3634.59
4/7/07,113.20,3634.59
5/7/07,113.20,3634.59
6/7/07,113.20,3634.59
7/7/07,113.18,3631.98
8/7/07,113.18,3631.98
9/7/07,113.16,3629.37
10/7/07,113.15,3628.07
11/7/07,113.14,3626.76
12/7/07,113.13,3625.46
13/7/07,113.14,3626.76
14/7/07,113.15,3628.07
15/7/07,113.15,3628.07
16/7/07,113.15,3628.07
17/7/07,113.15,3628.07
18/7/07,113.15,3628.07
19/7/07,113.14,3626.76
20/7/07,113.14,3626.76
21/7/07,113.12,3624.16
22/7/07,113.12,3624.16
23/7/07,113.12,3624.16
24/7/07,113.11,3622.85
25/7/07,113.10,3621.55
26/7/07,113.09,3620.25
27/7/07,113.07,3617.64
28/7/07,113.05,3615.03
29/7/07,113.05,3615.03
30/7/07,113.04,3613.73
31/7/07,113.03,3612.42
1/8/07,113.03,3612.42
2/8/07,113.02,3611.12
3/8/07,113.02,3611.12
4/8/07,113.01,3609.81
5/8/07,113.01,3609.81
6/8/07,113.00,3608.51
7/8/07,113.00,3608.51
8/8/07,113.00,3608.51
9/8/07,113.00,3608.51
10/8/07,113.00,3608.51
11/8/07,113.00,3608.51
