"Entrada do Processo","Expediçao da Outorga","Expiração da Outorga","Situação da Outorga","Vazão Horária  (m³/h)","Volume Anual (m³)","Manancial","Latitude","Longitude","Tipo de Uso","Município ","Bacia Hidrográfica","Açude Monitorados"
"15/05/2000","26/05/2000","40324","Vencido","323.1","2830082.2","Açude","-6,79166666666667","-35,6194444444444","Abastecimento Urbano","Borborema","Mamanguape","Canafístula II"
"15/05/2000","26/05/2000","40324","Vencido","62","542879.1","Açude","-7,13175833333333","-35,62825","Abastecimento Urbano","Juarez Távora","Mamanguape","Brejinho"
"15/05/2000","26/05/2000","40324","Vencido","62.1","544493.1","Açude","-7,05888888888889","-35,2766666666667","Abastecimento Urbano","Mari","Região do Baixo Curso do Rio Paraíba","Olho dÁgua"
"15/05/2000","26/05/2000","40324","Vencido","623.8","5464728.9","Açude","-6,90833333333333","-35,5388888888889","Abastecimento Urbano","Cuitegi","Mamanguape","Tauá"
"15/05/2000","26/05/2000","40324","Vencido","202.3","1772520.3","Açude","-6,73666666666667","-35,5797222222222","Abastecimento Urbano","Bananeiras","Mamanguape","Lagoa do Matias"
"26/05/2000","26/05/2000","40324","Vencido","267.7","2344438.8","Açude","-6,68833333333333","-35,7811111111111","Abastecimento Urbano","Cacimba de Dentro","Curimatau","Cacimba de Várzea"
"15/05/2000","26/05/2000","40324","Vencido","40.8","887081.4","Açude","-6,72555555555556","-35,4791666666667","Abastecimento Urbano","Serra da Raiz","Mamanguape","Suspiro"
"15/05/2000","26/05/2000","40324","Vencido","60.5","529980","Açude","-6,705","-35,4427777777778","Abastecimento Urbano","Serra da Raiz","Camaratuba","Duas Estradas"
"15/05/2000","26/05/2000","40324","Vencido","306","2680560","Açude","-6,81722222222222","-35,1197222222222","Abastecimento Urbano","Mamanguape","Mamanguape","Jangada"
"15/05/2000","26/05/2000","40324","Vencido","449.9","3940948.8","Açude","-6,81666666666667","-35,1191666666667","Abastecimento Urbano","Mamanguape","Mamanguape","Jangada"
"15/05/2000","26/05/2000","40324","Vencido","39.9","349261.2","Açude","-7,74861111111111","-36,3108333333333","Abastecimento Urbano","Barra de São Miguel","Região do Alto Curso do Rio Paraíba","Bichinho"
"15/05/2000","26/05/2000","40324","Vencido","18.5","162344.7","Açude","-7,38555555555556","-36,5333333333333","Abastecimento Urbano","São João do Cariri","Taperoá","Namorado"
"15/05/2000","26/05/2000","40324","Vencido","19.4","169506","Açude","-7,69444444444444","-37,0866666666667","Abastecimento Urbano","Prata","Região do Alto Curso do Rio Paraíba","Prata II"
"15/05/2000","26/05/2000","40324","Vencido","43.9","384410.7","Açude","-7,14277777777778","-35,9544444444444","Abastecimento Urbano","Puxinanã","Região do Médio Curso do Rio Paraíba","Milhã (Evaldo Gonçalves)"
"15/05/2000","26/05/2000","40324","Vencido","55.7","487932","Açude","-7,05166666666667","-35,8558333333333","Abastecimento Urbano","São Sebastião Lagoa de Roça","Mamanguape","São Sebastião"
"15/05/2000","26/05/2000","40324","Vencido","117","1025314.2","Açude","-7,67222222222222","-36,9011111111111","Abastecimento Urbano","Sumé","Região do Alto Curso do Rio Paraíba","Sumé"
"15/05/2000","26/05/2000","40324","Vencido","90.7","794838.6","Açude","-7,06722222222222","-36,3483333333333","Abastecimento Urbano","Soledade","Taperoá","Soledade"
"15/05/2000","26/05/2000","40324","Vencido","66.40000000000001","581445","Açude","-7,47972222222222","-36,6852777777778","Abastecimento Urbano","Serra Branca","Taperoá","Serra Branca II"
"15/05/2000","26/05/2000","40324","Vencido","74.90000000000001","656124","Açude","-7,88166666666667","-37,0702777777778","Abastecimento Urbano","Monteiro","Região do Alto Curso do Rio Paraíba","São José II"
"15/05/2000","26/05/2000","40324","Vencido","35","306600","Açude","-6,55777777777778","-36,3677777777778","Abastecimento Urbano","Picuí","Seridó","Caraibeiras"
"15/05/2000","26/05/2000","40324","Vencido","12.9","112872.5","Açude","-7,76305555555556","-36,5509166666667","Abastecimento Urbano","Caraúbas","Região do Alto Curso do Rio Paraíba","Campos"
"15/05/2000","26/05/2000","40324","Vencido","15","131531.4","Açude","-7,24555555555556","-36,4963888888889","Abastecimento Urbano","Gurjão","Taperoá","Gurjão"
"15/05/2000","26/05/2000","40324","Vencido","67.3","589591.8","Açude","-7,15111111111111","-35,73","Abastecimento Urbano","Massaranduba","Mamanguape","Massaranduba"
"15/05/2000","26/05/2000","40324","Vencido","17","149073.3","Açude","-6,96722222222222","-36,2433333333333","Abastecimento Urbano","Olivedos","Taperoá","Olivedos"
"15/05/2000","26/05/2000","40324","Vencido","17.8","155709","Açude","-7,60583333333333","-37,1541666666667","Abastecimento Urbano","Ouro Velho","Região do Alto Curso do Rio Paraíba","Ouro Velho"
"15/05/2000","26/05/2000","40324","Vencido","166.8","1461168","Açude","-7,93833333333333","-37,2213888888889","Abastecimento Urbano","Monteiro","Região do Alto Curso do Rio Paraíba","Pocinhos"
"15/05/2000","26/05/2000","40324","Vencido","13.1","114909.3","Açude","-7,38194444444444","-36,8044444444444","Abastecimento Urbano","São José dos Cordeiros","Taperoá","São José III"
"15/05/2000","26/05/2000","40324","Vencido","41.4","362401.2","Açude","-7,52","-38,05","Abastecimento Urbano","Pedra Branca","Piancó","Saco"
"15/05/2000","26/05/2000","40324","Vencido","83.90000000000001","734788.8","Açude","-7,24583333333333","-37,2083333333333","Abastecimento Urbano","Teixeira","Espinharas","São Francisco II"
"15/05/2000","26/05/2000","40324","Vencido","83.90000000000001","734788.8","Açude","-7,26083333333333","-37,2925","Abastecimento Urbano","Teixeira","Espinharas","Sabonete"
"15/05/2000","26/05/2000","40324","Vencido","177.4","15538870.7","Açude","-7,55488888888889","-37,8236111111111","Abastecimento Urbano","Juru","Piancó","Timbaúba"
"15/05/2000","26/05/2000","40324","Vencido","1662.8","14556347","Açude","-7,48611111111111","-36,1408333333333","Abastecimento Urbano","Boqueirão","Região do Alto Curso do Rio Paraíba","Epitácio Pessoa"
"15/05/2000","26/05/2000","40324","Vencido","171.9","1505844","Açude","-6,98833333333333","-35,7525","Abastecimento Urbano","Areia","Mamanguape","Vaca Brava"
"25/05/2000","25/05/2000","40323","Vencido","66.40000000000001","581445","Açude","-7,47861111111111","-36,6622222222222","Abastecimento Urbano","Serra Branca","Taperoá","Serra Branca I"
"15/05/2000","26/05/2000","40324","Vencido","27.5","240567.1","Açude","-6,85555555555556","-36,4058333333333","Abastecimento Urbano","São Vicente do Seridó","Seridó","Felismina Queiroz"
"15/05/2000","26/05/2000","40324","Vencido","50","438000","Açude","-7,92194444444444","-37,1027777777778","Abastecimento Urbano","Monteiro","Região do Alto Curso do Rio Paraíba","Serrote"
"15/05/2000","26/05/2000","40324","Vencido","55","481909.5","Açude","-7,64472222222222","-37,8738888888889","Abastecimento Urbano","Tavares","Piancó","Novo II"
"15/05/2000","26/05/2000","40324","Vencido","122.4","1071961.2","Açude","-7,54","-37,7872222222222","Abastecimento Urbano","Juru","Piancó","Glória"
"15/05/2000","26/05/2000","40324","Vencido","22.4","196311.6","Açude","-6,78694444444444","-36,7869444444444","Abastecimento Urbano","São José do Sabugi","Seridó","São José IV"
