PERIM,AREA_M2,HECTARES,GEOCODIGO,RESERVAT,NOME,BACIA,TIPO_RESER,CAP_HM3,MUNICIPIO,ESTADO
8061.83,909138.82,90.91,12298,Açude Olivedos,Olivedos,Taperoá,Artificial,5.88,Olivedos,Paraíba
5741.35,356809.24,35.68,12182,Açude Felismina Queiroz,Felismina Queiroz,Seridó,Artificial,2.06,Seridó,Paraíba
8970.61,974581.08,97.46,12377,Açude Riacho de Santo Antônio,Riacho de Santo Antônio,Médio Paraíba,Artificial,6.83,Barra de São Miguel,Paraíba
2389.67,240494.77,24.05,12053,Açude Riacho do Bichinho,Bichinho,Alto Paraíba,Artificial,4.57,Barra de São Miguel,Paraíba
53085.72,13288331.66,1328.83,1055,Açude Mesa de Pedra,Mesa de Pedra,Poti,Artificial,55,Valença do Piauí/Aroazes,Piauí
10893.46,1159763.71,115.98,12406,Açude São Domingos,São Domingos,Alto Paraíba,Artificial,7.76,São Domingos Cariri,Paraíba
11184.2,1398159.14,139.82,12095,Açude Campos (Congo),Campos,Alto Paraíba,Artificial,6.59,Caraúbas,Paraíba
87231.58,10627211.02,1062.72,12243,Açude Jucazinho (Antônio Gouveia Neto),Jucazinho,Capibaribe,Artificial,327,Frei Miguelinho/Riacho das Almas/Surubim,Pernambuco
5244.8,609252.16,60.93,12494,Barragem do Estreito,Mateus Vieira,Capibaribe,Artificial,2.75,Taquaritinga do Norte,Pernambuco
10132.04,881810.32,88.18,1066,Açude Machado,Machado,Capibaribe,Artificial,1.6,Brejo da Madre de Deus,Pernambuco
15835.46,1401364.45,140.14,12169,Açude Engenheiro Gercino de Pontes (Tabocas),Engenheiro Gercino de Pontes (Tabocas),Capibaribe,Artificial,13.6,Caruaru/Brejo da Madre de Deus,Pernambuco
4393.93,360092.54,36.01,12295,Barragem Oitis,Oitis,Capibaribe,Artificial,3.02,Brejo da Madre de Deus,Pernambuco
3881.09,308550.7,30.86,12495,Barragem de Tabocas,Tabocas-Piaça,Ipojuca,Artificial,1.17,Belo Jardim,Pernambuco
3459.5,375965.84,37.6,12157,Barragem de Duas Serras,Duas Serras,Ipojuca,Artificial,2.03,Poções,Pernambuco
17885.88,2979192.77,297.92,12306,Barragem de Pão de Açúcar,Pão de Açúcar,Ipojuca,Artificial,34.23,Poções/Pesqueira,Pernambuco
2612.31,224239.19,22.42,12452,Açude Guilherme de Azevedo (da Taquara),Taquara,Ipojuca,Artificial,1.35,Caruaru,Pernambuco
11946.29,1956752.08,195.68,12170,Açude Engenheiro Severino Guerra (ex Bituri),Engenheiro Severino Guerra (Bitury),Ipojuca,Artificial,17.78,Belo Jardim,Pernambuco
37016.87,3936619.07,393.66,12050,Açudee Belo Jardim (Pedro Moura Júnior),Belo Jardim (Ipojuca),Ipojuca,Artificial,30.74,Belo Jardim/São Bento do Una,Pernambuco
5371.12,406083.21,40.61,12303,Barragem Pai Mané,Pai Mané,São Francisco,Artificial,2.12,Dois Riachos/Iati,Alagoas
6716.29,670508.29,67.05,1092,Barragem de Cajarana,Cajarana,Mundau,Artificial,2.59,Garanhuns/Capoeiras,Pernambuco
5468.46,833193.71,83.32,12207,Barragem do Gurjão,Gurjão,Una,Artificial,3.85,Capoeiras,Pernambuco
8794.04,887045.33,88.7,12150,Açude Delmiro Gouveia,Delmiro Gouveia (Sinimbu),São Francisco,Artificial,5.04,Delmiro Gouveia,Alagoas
3770.73,258639.58,25.86,12269,Açude Maravilha,Maravilha,São Francisco,Artificial,1.61,Maravilha,Alagoas
6294.82,543279.26,54.33,12204,Açude Gravatá,Gravatá,São Francisco/Moxot,Artificial,8.37,Mata Grande,Alagoas
20605.11,1352336.51,135.23,12469,Açude Três Barras,Três Barras,São Francisco,Artificial,7.98,Gracho Cardoso,Sergipe
9228.74,432109.72,43.21,12015,Açude Algodoeiros,Algodoeiro,São Francisco,Artificial,1.86,Nossa Senhora da Glória,Sergipe
4132.02,207307.53,20.73,12252,Açude Lagoa do Rancho,Lagoa do Rancho,São Francisco,Artificial,1.61,Porto da Folha,Sergipe
5041.88,424743.44,42.47,12368,Açude Retiro,Retiro,São Francisco,Artificial,1.7,Palestina,Alagoas
5749.49,416464.61,41.65,12410,Açude São José da Tapera,São José da Tapera,São Francisco,Artificial,1.53,São José da Tapera,Alagoas
10474.56,1158314.2,115.83,12208,Barragem de Ingazeira,Ingazeira,Ipanema,Artificial,4.8,Venturosa/Pedra,Pernambuco
3849.18,398930.82,39.89,12283,Açude Mororó,Mororó,Ipanema,Artificial,2.93,Pedra,Pernambuco
17241.04,2299516.09,229.95,12032,Açude Arcoverde,Arcoverde,Ipanema,Artificial,16.8,Pedra,Pernambuco
4855.81,438708.47,43.87,12212,Barragem de Ipaneminha,Ipaneminha,Ipanema,Artificial,3.9,Pesqueira,Pernambuco
247400.39,55192648.84,5519.26,12168,Açude Engenheiro Francisco Saboya (ex Poço da Cruz),Engenheiro Francisco Saboia,Moxotó,Artificial,504,Ibimirim/Sertânia,Pernambuco
32399.19,5545617.69,554.56,12400,Açude Santo Antônio,Santo Antônio,Alto Paraíba,Artificial,24.42,São Sebastião do Umbuzeiro,Paraíba
8105.09,1068028.48,106.8,12082,Açude Cachoeira I,Cachoeira I,Moxotó,Artificial,5.95,Sertânia,Pernambuco
5397.89,536120.65,53.61,12041,Açude Barra,Barra,Moxotó,Artificial,2.74,Sertânia,Pernambuco
16771.12,2942277.7,294.23,12273,Açude Custódia,Marrecas/Custódia,Moxotó,Artificial,21.62,Custódia,Pernambuco
31193.95,4289728.51,428.97,12091,Açude Camalaú,Camalaú,Alto Paraíba,Artificial,48.11,Camalaú,Paraíba
37618.67,6638447.06,663.84,12349,Açude Poções,Poções,Alto Paraíba,Artificial,29.86,Monteiro,Paraíba
6021.63,469939.98,46.99,12414,Açude São José,São José II,Alto Paraíba,Artificial,1.31,Monteiro,Paraíba
4786.87,778541.76,77.85,12435,Açude Serrote,Serrote,Alto Paraíba,Artificial,5.71,Monteiro,Paraíba
16155.55,2106550.4,210.66,12339,Açude Pocinhos,Pocinhos,Alto Paraíba,Artificial,6.79,Monteiro,Paraíba
62542.12,11027181.05,1102.72,12134,Açude Cordeiro,Cordeiro,Alto Paraíba,Artificial,69.97,Camalaú/Congo,Paraíba
3961.95,370977.85,37.1,12357,Açude da Prata II,Prata II,Alto Paraíba,Artificial,1.31,Prata,Paraíba
46847.79,7965098.72,796.51,12383,Açude Rosário,Rosário,Pajé,Artificial,34.99,Ingazeira/Iguaraci,Pernambuco
48042.19,5657264.37,565.73,12042,Açude Barra do Juá,Barra do Juá,Pajé,Artificial,71.47,Floresta/Betânia,Pernambuco
6736.9,413934.64,41.39,1176,Açude Quebra Unha (Juá),Quebra Unha,Pajé,Artificial,3.19,Floresta,Pernambuco
159091.16,34036429.84,3403.64,12431,Açude Serrinha I,Serrinha II,Pajé,Artificial,311.08,Serra Talhada,Pernambuco
26475.44,2211046.14,221.1,12228,Açude Jazigo,Jazigo,Pajé,Artificial,15.54,Serra Talhada,Pernambuco
6990.54,1674806.97,167.48,1182,Açude do Saco I,Saco I,Pajé,Artificial,36,Serra Talhada,Pernambuco
22965.18,3236650.49,323.67,12083,Açude Cachoeira II,Cachoeira II,Pajé,Artificial,21.03,Serra Talhada,Pernambuco
14307.29,876519.27,87.65,12114,Açude Catolé,Catolé I,Piancó,Artificial,10.5,Manaíra,Paraíba
27030.93,2596591.87,259.66,12074,Açude de Brotas,Brotas,Pajé,Artificial,19.64,Afogados da Ingazeira,Pernambuco
4000.56,232288.54,23.23,12294,Açude Novo II,Novo II,Piancó,Artificial,0.71,Tavares,Paraíba
6155.55,774444.59,77.44,12456,Açude Tavares II,Tavares II,Piancó,Artificial,9,Tavares,Paraíba
25613.15,1685815.77,168.58,12347,Açude Poço Redondo,Poço Redondo,Piancó,Artificial,8.93,Santana de Mangueira,Paraíba
17721.81,2015870.72,201.59,12462,Açude Timbaúba,Timbaúba,Piancó,Artificial,15.44,Juru,Paraíba
46331.57,5231541.05,523.15,12387,Açude Saco,Saco,Piancó,Artificial,97.49,Pedra Branca/Princesa Isabel,Paraíba
30627.47,2352575.77,235.26,12075,Açude Bruscas,Bruscas,Piancó,Artificial,38.21,Curral Velho,Paraíba
21084.1,1902062.79,190.21,12335,Açude Piranhas,Piranhas,Piancó,Artificial,25.7,Ibiara,Paraíba
11374.28,1383740.47,138.37,12060,Açude Bom Jesus (Poço Comprido),Bom Jesus II,Piancó,Artificial,14.17,Água Branca,Paraíba
8457.66,344321.93,34.43,1199,Açude Riacho Verde,Riacho Verde,Piancó,Artificial,1.26,Boa Ventura,Paraíba
15491.15,1085996.3,108.6,12487,Açude Vazante,Vazante,Piancó,Artificial,9.09,Diamante/Ibiara,Paraíba
79748.78,9777355.07,977.74,12231,Açude Jenipapeiro (Buiú),Jenipapeiro (Buiú),Piancó,Artificial,70.76,Olho D'Água,Paraíba
32810.97,2313430.51,231.34,12361,Açude Queimadas,Queimadas,Piancó,Artificial,15.63,Santana dos Garrotes,Paraíba
9153.04,835666.43,83.57,12488,Açude Video,Video,Piancó,Artificial,6.04,Conceição/Diamante,Paraíba
11686.57,1165533.34,116.55,12079,Açude Cachoeira dos Alves,Cachoeira dos Alves,Piancó,Artificial,10.61,Itaporanga,Paraíba
10219.86,701824.93,70.18,12128,Açude Boqueirão dos Cochos,Cochos,Piancó,Artificial,4.2,Igaracy/Itaporanga,Paraíba
66086.2,9263458.98,926.35,12080,Açude Cachoeira dos Cegos,Cachoeira dos Cegos,Piancó,Artificial,71.89,Catingueira,Paraíba
7636.57,849844.43,84.98,12161,Açude Emas,Emas,Piancó,Artificial,2.01,Emas,Paraíba
292744.03,61578134.4,6157.81,12143,Açude Coremas (Engenheiro Estevam Marinho),Curema,Piancó,Artificial,591.65,Coremas/Piancó,Paraíba
5066.55,311239.11,31.12,12191,Açude Frutuoso II,Frutuoso II,Piancó,Artificial,3.52,Igaracy/Aguiar,Paraíba
10465.52,678174.39,67.82,12229,Açude Jenipapeiro,Jenipapeiro,Alto Piranhas,Artificial,1.95,São José da Lagoa Tapada,Paraíba
23612.2,2539540.74,253.95,12165,Açude Condado (Engenheiro Arcoverde),Engenheiro Arcoverde,Médio Piranhas,Artificial,36.83,Condado,Paraíba
39916.12,3888080.07,388.81,12409,Açude São Gonçalo,São Gonçalo,Alto Piranhas,Artificial,44.6,Sousa/Marizópolis,Paraíba
43089.62,5101412.4,510.14,12447,Açude Sumé,Sumé,Alto Paraíba,Artificial,44.86,Sumé,Paraíba
10448.66,1751965.71,175.2,12422,Açude São Paulo,São  Paulo,Alto Paraíba,Artificial,8.46,Prata,Paraíba
5430.49,502418.33,50.24,12061,Açude Bom Sucesso,Bom Sucesso,Pajé,Artificial,1.74,Tuparetama/Ingazeira,Pernambuco
4763.82,548499.53,54.85,12428,Açude Serra Branca I,Serra Branca I,Taperoá,Artificial,2.12,Serra Branca,Paraíba
5244.07,611693.97,61.17,12429,Açude Serra Branca II,Serra Branca II,Taperoá,Artificial,14.04,Serra Branca,Paraíba
12062.73,957379.46,95.74,12416,Açude São José II,São José II,Pajé,Artificial,7.15,São José do Egito,Pernambuco
2576.52,222107.35,22.21,12290,Açude Namorado,Namorado,Taperoá,Artificial,2.12,São João do Cariri,Paraíba
8844.36,916825.01,91.68,12417,Açude São José III,São José III,Taperoá,Artificial,0.96,São José dos Cordeiros,Paraíba
5621.15,538787.65,53.88,12255,Açude Livramento (Russos),Livramento (Russos),Taperoá,Artificial,2.43,Livramento,Paraíba
7032.29,509052.24,50.91,12057,Açude Boa Vista,Boa Vista,Pajé,Artificial,1.63,Itapetim,Pernambuco
3824.87,352840.24,35.28,12262,Açude Mãe d'água,Mãe d'água,Pajé,Artificial,1.5,Itapetim,Pernambuco
4359.42,448459.29,44.85,12432,Açude Serraria,Serrinha/Serraria,Pajé,Artificial,1.26,Brejinho,Pernambuco
3026.13,279645.22,27.96,12011,Açude Albino,Albino,Piancó,Artificial,1.83,Imaculada,Paraíba
25053.63,4900938.68,490.09,12451,Açude Manoel Marcionilo (Taperoá II),Taperoá II (Manoel Marcionilo),Taperoá,Artificial,15.15,Taperoá,Paraíba
17104.61,1528471.42,152.85,12234,Açude Jeremias,Jeremias,Taperoá,Artificial,4.66,Desterro,Paraíba
3806.42,389503.92,38.95,12385,Açude Sabonete,Sabonete,Espinharas,Artificial,1.95,Teixeira,Paraíba
11816.32,977042.21,97.7,12408,Açude São Francisco II,São Francisco II,Espinharas,Artificial,4.92,Teixeira,Paraíba
7953.75,681112.34,68.11,12372,Açude Riacho das Moças,Riacho das Moças,Espinharas,Artificial,6.41,Teixeira/Maturéia,Paraíba
15536.85,2010832.72,201.08,12251,Açude Lagoa do Meio,Lagoa do Meio,Taperoá,Artificial,6.65,Taperoá,Paraíba
35430.2,5135595.13,513.56,12101,Açude Capoeira,Capoeira,Espinharas,Artificial,53.45,Mãe d'água,Paraíba
45299.46,6071828.14,607.18,12285,Açude Mucutu,Mucutu,Taperoá,Artificial,25.37,Taperoá/Juazeirinho/Assunção,Paraíba
36069.98,6019221.6,601.92,12179,Açude da Farinha,Farinha,Espinharas,Artificial,25.74,Patos/Cacimba de Areia,Paraíba
27314.81,4219987.19,422,12226,Açude Jatobá I,Jatobá I,Espinharas,Artificial,17.52,Patos/São José do Bonfim,Paraíba
7451.51,1683444.53,168.34,12396,Açude Santa Luzia (Tartaruga),Santa Luzia,Seridó,Artificial,11.96,Santa Luzia,Paraíba
25549.23,3688228.01,368.82,12420,Açude São Mamede,São Mamede,Seridó,Artificial,15.79,São Mamede,Paraíba
29502.25,4706708.82,470.67,12312,Açude Pataxós,Pataxós,Piranhas/Assu,Artificial,15.02,Ipanguaçu,Rio Grande do Norte
528268.77,182447931.6,18244.79,12164,Açude Armando Ribeiro Gonçalves,Engenheiro Armando Ribeiro Gonçalves,Piranhas/Assu,Artificial,2400,Itaje/São Rafael/Jucurutu,Rio Grande do Norte
60443.61,10598674.56,1059.87,12277,Açude Mendubim,Mendubim,Piranhas/Assu,Artificial,76.35,Açuu,Rio Grande do Norte
21676.18,3513297.58,351.33,12065,Açude Boqueirão de Angicos,Boqueirão de Angicos,Piranhas/Assu,Artificial,16.02,Afonso Bezerra/Pedro Avelino,Rio Grande do Norte
70596.32,13435005.86,1343.5,12066,Açude Boqueirão de Parelhas (Ministro João Alves),Boqueirão de Parelhas (Ministro João Alves),Piranhas/Assu,Artificial,84.79,Parelhas,Rio Grande do Norte
8107.79,1653774.42,165.38,12090,Açude Caldeirão de Parelhas,Caldeirão de Parelhas,Piranhas/Assu,Artificial,9.32,Parelhas,Rio Grande do Norte
33092.89,4405112.75,440.51,12174,Açude do Esguicho,Esguicho,Piranhas/Assu,Artificial,27.94,Ouro Branco,Rio Grande do Norte
6553.17,752995.81,75.3,12481,Açude Várzea,Várzea,Seridó,Artificial,1.13,Várzea,Paraíba
11864.06,1498009.89,149.8,12492,Açude Zangarelhas,Zangarelhas,Piranhas/Assu,Artificial,7.92,Jardim do Seridó,Rio Grande do Norte
24220.77,3295838.96,329.58,12108,Açude Carnaúba,Carnaúba,Piranhas/Assu,Artificial,25.71,Caicó/São João do Sabugi,Rio Grande do Norte
72405.22,11830134.37,1183.01,12386,Açude Sabugi,Sabugi,Piranhas/Assu,Artificial,65.33,São João do Sabugi,Rio Grande do Norte
26900.62,3108912.97,310.89,12485,Açude Várzea Grande,Várzea Grande,Seridó,Artificial,21.53,Picuí,Paraíba
62876.19,9443256.63,944.33,12311,Açude Passagem das Traíras,Passagem das Traíras,Piranhas/Assu,Artificial,49.7,São José do Seridó,Rio Grande do Norte
41700.66,11979288.43,1197.93,12216,Açude Itans,Itans,Piranhas/Assu,Artificial,81.75,Caicó,Rio Grande do Norte
35373.25,7642061.93,764.21,12271,Açude Marechal Dutra (Gargalheiras),Marechal Dutra,Piranhas/Assu,Artificial,44.42,Acari,Rio Grande do Norte
39068.42,6096595.25,609.66,12140,Açude Cruzeta,Cruzeta,Piranhas/Assu,Artificial,23.55,Cruzeta,Rio Grande do Norte
10339.15,1611740.54,161.17,12288,Açude Mundo Novo,Mundo Novo,Piranhas/Assu,Artificial,3.6,Caicó,Rio Grande do Norte
7306.9,711416.93,71.14,12155,Açude Dourado,Dourado,Piranhas/Assu,Artificial,10.32,Currais Novos,Rio Grande do Norte
10143.22,1017884.91,101.79,12013,Açude Alecrim (Santana dos Matos),Açude Alecrim (Santana dos Matos),Piranhas/Assu,Artificial,7,Santana do Matos,Rio Grande do Norte
29244,2963485.91,296.35,12379,Açude Rio da Pedra,Rio da Pedra,Piranhas/Assu,Artificial,13.6,Santana do Matos,Rio Grande do Norte
19768.62,2033390.62,203.34,12049,Açude Beldroega,Beldroega,Piranhas/Assu,Artificial,8.06,Paraú,Rio Grande do Norte
15580.54,1613257.8,161.33,12307,Açude Paraíso (Luiz Oliveira),Paraíso (Luiz Oliveira),Peixe,Artificial,5.34,São Francisco/Santa Cruz,Paraíba
36223.64,6394952.44,639.5,12110,Açude Carneiro,Carneiro,Médio Piranhas,Artificial,31.29,Jericó,Paraíba
13169.06,2777537.06,277.75,12376,Açude Riacho dos Cavalos,Riacho dos Cavalos,Médio Piranhas,Artificial,17.7,Riacho dos Cavalos,Paraíba
16216.82,2479680.56,247.97,12236,"Açude Jesus, Maria, José","Jesus, Maria, José",Apodi/Mossoró,Artificial,9.64,Tenente Ananias,Rio Grande do Norte
9524.77,1597644.5,159.76,12399,Açude Santa Rosa,Santa Rosa,Médio Piranhas,Artificial,2.84,Brejo do Cruz,Paraíba
16466.07,2563277.71,256.33,12270,Açude Marcelino Vieira (Caiçara),Marcelino Vieira,Apodi/Mossoró,Artificial,11.2,Marcelino Vieira,Rio Grande do Norte
14562.55,3105090.26,310.51,12450,Açude Tapera,Tapera,Médio Piranhas,Artificial,26.42,Brejos do Cruz/Belém do Brejo do Cruz,Paraíba
11681.9,990585.32,99.06,12329,Açude Pilões,Pilões,Apodi/Mossoró,Artificial,5.9,Pilões,Rio Grande do Norte
36127.18,8621272.82,862.13,12038,Açude Baião,Baião,Médio Piranhas,Artificial,39.23,Belém do Brejo do Cruz/São José do Brejo do Cruz,Paraíba
11332.3,1996210.07,199.62,12173,Açude Escondido,Escondido,Médio Piranhas,Artificial,16.58,Belém do Brejo do Cruz,Paraíba
7479,940516.79,94.05,12135,Açude Corredor,Corredor,Apodi/Mossoró,Artificial,3.71,Antônio Martins,Rio Grande do Norte
56138.14,10955714.43,1095.57,12316,Açude Pau dos Ferros,Pau dos Ferros,Apodi/Mossoró,Artificial,55.9,Pau dos Ferros/Rafael Fernandes/Marcelino Vieira,Rio Grande do Norte
19875.71,4113288.27,411.33,12257,Açude Lucrécia,Lucrécia,Apodi/Mossoró,Artificial,24.75,Lucrécia/Frutuoso Gomes,Rio Grande do Norte
15658.92,2278631.11,227.86,12381,Açude Rodeador,Rodeador,Apodi/Mossoró,Artificial,21.4,Umarizal/Almino Afonso/Rafael Godeiro,Rio Grande do Norte
6368.12,840389.96,84.04,12458,Açude Tesoura,Tesoura,Apodi/Mossoró,Artificial,3.9,Francisco Dantas,Rio Grande do Norte
8185.14,855179.67,85.52,12463,Açude Tourão,Tourão,Apodi/Mossoró,Artificial,7.99,Patu,Rio Grande do Norte
8716.55,1478192.07,147.82,12070,Açude do Brejo,Brejo,Apodi/Mossoró,Artificial,6.45,Olho D'Água do Borges,Rio Grande do Norte
7068.41,765917.17,76.59,12477,Açude Umarizal (Inspetoria),Umarizal,Apodi/Mossoró,Artificial,3.1,Umarizal,Rio Grande do Norte
17620.21,3226153.91,322.62,12402,Santo Antônio de Caraúbas,Santo Antônio de Caraúbas,Apodi/Mossoró,Artificial,8.54,Caraúbas/Janduís,Rio Grande do Norte
