PERIM,AREA_M2,HECTARES,GEOCODIGO,RESERVAT,NOME,BACIA,TIPO_RESER,CAP_HM3,MUNICIPIO,ESTADO
2565.17,203018.27,20.3,12087,Açude Caianinha,Caianinha,Una,Artificial,1.36,São Joaquim do Monte,Pernambuco
7115.29,643727.79,64.37,12085,Açude Cacimba da Várzea,Cacimba da Várzea,Curimataú,Artificial,9.26,Cacimba de Dentro/Casserengue,Paraíba
6104.64,528816.41,52.88,12145,Açude Curimataú,Curimataú,Curimataú,Artificial,5.99,Barra de Santa Rosa,Paraíba
10868.93,876467.94,87.65,12351,Açude Poleiros,Poleiros,Curimataú,Artificial,7.93,Barra de Santa Rosa,Paraíba
13995.54,988064.64,98.81,12067,Açude Boqueirão do Cais,Boqueirão do Cais,Jacu,Artificial,12.37,Cuité,Paraíba
5253.65,341769.85,34.18,12103,Açude Caraibeiras,Caraibeiras,Seridó,Artificial,2.71,Picuí,Paraíba
10900.97,1271913.87,127.19,12223,Açude Japi II,Japi II,Jacu,Artificial,20.65,São José do Campestre,Rio Grande do Norte
29379.9,3786575.87,378.66,12464,Açude Trairi,Trairi,Trairi,Artificial,35.23,Tangará,Rio Grande do Norte
12640.59,1382564.52,138.26,12393,Açude Santa Cruz,Santa Cruz,Trairi,Artificial,5.16,Santa Cruz,Rio Grande do Norte
13928.09,2359801.97,235.98,12210,Açude Inharé,Inharé,Trairi,Artificial,17.6,Santa Cruz,Rio Grande do Norte
61981.72,10980889.51,1098.09,12340,Açude Poço Branco (José Batista do Rego Pereira),Poço Branco (José Batista do Rego Pereira),Ceará-Mirim,Artificial,135.16,Poço Branco/Bento Fernandes,Rio Grande do Norte
34085.83,4659254.39,465.93,12093,Açude Campo Grande,Campo Grande,Potengi,Artificial,23.14,São Paulo do Potengi,Rio Grande do Norte
16730.06,2558607.69,255.86,12249,Lagoa do Boqueirão,Lagoa do Boqueirão,Boqueirão,Natural,11.07,Touros,Rio Grande do Norte
165727.09,23463642.47,2346.36,12129,Açude do Cocorobó,Cocorobó,Vaza Barris,Artificial,245.38,Canudos,Bahia
12269.81,1437099.18,143.71,12022,Açude Andorinha II,Andorinha II,Itapicuru,Artificial,13.68,Andorinha,Bahia
17152.75,3120034.3,312,12333,Açude Pinhões,Pinhões,São Francisco,Artificial,15.22,Curaça/Juazeiro,Bahia
33436.73,9515944.65,951.59,12176,Açude do Estreito,Estreito,São Francisco,Artificial,76,Espinosa/Urandi,Bahia
13623.63,1148613.68,114.86,12008,Barragem,Água Fria II,Rio Pardo,Artificial,6.46,Barra do Choça,Bahia
15483.26,1964779.44,196.48,12468,Açude Tremedal,Tremedal,Rio de Contas,Artificial,23.75,Tremedal,Bahia
142404.35,19653414.94,1965.34,12020,Açude Anagé (Deputado Elquison Soares),Anagé,Rio de Contas,Artificial,255.63,Anagé/Caraibas/Belo Campo,Bahia
4660.43,191239.55,19.12,12130,Açude Coité,Coité,Vaza Barris,Artificial,0.82,Frei Paulo,Sergipe
7733.52,592934.41,59.29,12284,Açude Morrinhos,Morrinhos,Rio de Contas,Artificial,3.11,Poções,Bahia
123925.62,22206667.02,2220.67,12411,Barragem João Durval Carneiro (São José do Jacuípe),São José do Jacuípe,Paraguaçu,Artificial,357,Quixabeira/Várzea da Roça/São José do Jacuípe,Bahia
4819.19,297455.23,29.75,12434,Açude Serrote,Serrote,Itapicuru,Artificial,10.8,Serrolândia,Bahia
27028.25,4567402.78,456.74,12322,Barragem de Pedras Altas,Pedras Altas,Itapicuru,Artificial,38.45,Jacobina/Caém,Bahia
42190.08,6724380.56,672.44,12354,CGH Ponto Novo,Ponto Novo,Itapicuru,Artificial,38.94,Ponto Novo/Pindobaçu/Filadélfia,Bahia
87174.69,18584654.75,1858.47,12382,Açude Rômulo Campos (Jacurici),Rômulo Campos,Itapicuru,Artificial,146.82,Cansanço/Itiúba,Bahia
9446.97,807715.5,80.77,12362,Açude Quicé,Quicé,Itapicuru,Artificial,4.23,Senhor do Bonfim/Andorinha,Bahia
4334.07,551512.44,55.15,751,Barragem Jabiberi,Jabiberi,Real,Artificial,4.3,Tobias Barreto,Sergipe
13853.41,2170040.18,217,12007,Açude Adustina,Adustina,Vaza Barris,Artificial,13.43,Adustina,Bahia
210256.92,76196994.48,7619.7,12320,UHE Pedra,Pedra,Contas,Artificial,1640,Jequié/Manoel Vitorino/Maracos,Bahia
30676.1,3927666.96,392.77,12189,Barragem do França,França,Paraguaçu,Artificial,24.19,Piritiba/Miguel Calmon,Bahia
68617.97,13359877.39,1335.99,12024,Açude Apertado,Apertado,Paraguaçu,Artificial,108.69,Mucugê/Ibicoara,Bahia
493617.59,135293504.18,13529.35,795,UHE Pedra do Cavalo,Pedra do Cavalo,Paraguaçu,Artificial,4836.82,Cabaceiras do Paraguaçu/Santo Estevão/Antônio Cardoso/Conceição da Feira,Bahia
59853.03,10588606.71,1058.86,12026,Açude Araci (ex Poço Grande),Araci,Itapicuru,Artificial,65.84,Araci,Bahia
4689.97,221139.68,22.11,12480,Açude Valério,Valério,Alto Jaguaribe,Artificial,2.02,Assaré/Altaneira,Ceará
3588.09,378732.62,37.87,12438,Açude Sindô Ribeiro,Sindô Ribeiro,Mamanguape,Natural,3.02,Massaranduba,Paraíba
6591.09,436781.32,43.68,12433,Açude Serrote,Serrote,Pajé,Artificial,1.62,São José do Belmonte,Pernambuco
5614.05,426871.58,42.69,12092,Açude Campo Grande,Campo Grande,São Francisco,Artificial,1.78,Girau do Ponciano/Campo Grande,Alagoas
8037.63,1009356.88,100.94,12028,Açude Arapiraca,Arapiraca,São Francisco/Perucaba,Artificial,4.13,Arapiraca,Alagoas
24312.83,3275414.08,327.54,12224,Açude Público Jaramataia,Jaramataia,São Francisco/Traipu,Artificial,19.01,Jaramataia,Alagoas
2553.02,216431.6,21.64,12138,Açude Craíbas dos Nunes,Craíbas dos Nunes,São Francisco,Artificial,0.49,Craíbas,Alagoas
13711.1,1398097.4,139.81,12304,Açude Palmeira dos Índios (ex Coruripe),Palmeira dos Índios,Coruripe,Artificial,3.74,Igaci,Alagoas
3003.81,196690.79,19.67,12263,Açude Major Izidoro,Major Izidoro,São Francisco,Artificial,0.3,Major Isidoro/Cacimbinhas,Alagoas
5358.68,496161.23,49.62,12436,Açude Sertão de Baixo,Sertão de Baixo,São Francisco,Artificial,1.73,Major Isidoro,Alagoas
23217.76,2111401.83,211.14,12345,Açude Poço Fundo,Poço Fundo,Capibaribe,Artificial,27.75,Santa Cruz do capibaribe/Brejo da Madre de Deus,Pernambuco
5472.25,332628.59,33.26,12120,Açude Chã dos Pereiras,Chã dos Pereiras,Baixo Paraíba,Artificial,1.97,Ingá,Paraíba
233326.83,43674431.07,4367.44,12172,Açude Epitácio Pessoa (Boqueirão),Epitácio Pessoa,Alto Paraíba,Artificial,411.69,Cabaceiras/Barra de São Miguel/Boqueirão,Paraíba
6674.77,682984.77,68.3,12123,Barragem do Chinelo,Chinelo,Pajé,Artificial,3.45,Carnaúba,Pernambuco
8896.71,761779.89,76.18,12227,Açude Jatobá II,Jatobá II,Piancó,Artificial,6.49,Princesa Isabel,Paraíba
14418.22,1147426.68,114.74,12241,Açude José Rodrigues,José Rodrigues,Médio Paraíba,Artificial,22.33,Campina Grande/Fagundes,Paraíba
5944.25,913658.9,91.37,12206,Açude Gurjão,Gurjão,Taperoá,Artificial,3.68,Gurjão,Paraíba
3678.16,194559.74,19.46,12278,Açude do Milhã (Evaldo Gonçalves),Milhã (Evaldo Gonçalves),Médio Paraíba,Artificial,0.8,Puxinanã,Paraíba
7003.37,556706.79,55.67,12139,Açude Catolé (Cruz do Riacho),Cruz dos Pocinhos,Mamanguape,Artificial,3.92,Pocinhos,Paraíba
11988.4,1776891.92,177.69,12443,Açude Soledade,Soledade,Taperoá,Artificial,27.06,Soledade,Paraíba
7342.93,482099.64,48.21,1041,Açude Barra da Melancia,Barra de Melancia,Pontal,Artificial,1.37,Afrânio,Pernambuco
